"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/12/1999","AQS","010270001","1","8.8","ug/m3 LC","37","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"01/15/1999","AQS","010270001","1","14.9","ug/m3 LC","57","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"01/18/1999","AQS","010270001","1","3.8","ug/m3 LC","16","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"01/21/1999","AQS","010270001","1","9","ug/m3 LC","38","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"01/24/1999","AQS","010270001","1","5.4","ug/m3 LC","23","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"01/27/1999","AQS","010270001","1","20.1","ug/m3 LC","68","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"01/30/1999","AQS","010270001","1","11.5","ug/m3 LC","48","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"02/02/1999","AQS","010270001","1","13.6","ug/m3 LC","54","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"02/05/1999","AQS","010270001","1","7.2","ug/m3 LC","30","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"02/08/1999","AQS","010270001","1","11.4","ug/m3 LC","48","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"02/11/1999","AQS","010270001","1","13.4","ug/m3 LC","54","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"02/14/1999","AQS","010270001","1","46.2","ug/m3 LC","127","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"02/17/1999","AQS","010270001","1","11.2","ug/m3 LC","47","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"03/19/1999","AQS","010270001","1","9.9","ug/m3 LC","41","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"03/28/1999","AQS","010270001","1","20.6","ug/m3 LC","69","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"03/31/1999","AQS","010270001","1","18.2","ug/m3 LC","64","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"04/03/1999","AQS","010270001","1","15.2","ug/m3 LC","58","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"04/06/1999","AQS","010270001","1","16.7","ug/m3 LC","61","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"04/09/1999","AQS","010270001","1","22.4","ug/m3 LC","73","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"04/12/1999","AQS","010270001","1","7.6","ug/m3 LC","32","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"04/15/1999","AQS","010270001","1","12.3","ug/m3 LC","51","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"04/18/1999","AQS","010270001","1","9.6","ug/m3 LC","40","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"04/19/1999","AQS","010270001","1","11.4","ug/m3 LC","48","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"04/21/1999","AQS","010270001","1","11.4","ug/m3 LC","48","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"04/29/1999","AQS","010270001","1","8.5","ug/m3 LC","35","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"04/30/1999","AQS","010270001","1","4.7","ug/m3 LC","20","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"05/03/1999","AQS","010270001","1","14.9","ug/m3 LC","57","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"05/06/1999","AQS","010270001","1","8.8","ug/m3 LC","37","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"05/09/1999","AQS","010270001","1","21.9","ug/m3 LC","72","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"05/12/1999","AQS","010270001","1","15.7","ug/m3 LC","59","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"05/15/1999","AQS","010270001","1","20.1","ug/m3 LC","68","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"05/18/1999","AQS","010270001","1","18.9","ug/m3 LC","65","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
